"","Species","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","Bodymass","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Diet.5Cat","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO"
"1","Acanthisitta chloris","Passeriformes","Passeriformes","Acanthisittidae","New Zealand wrens",6.91,0,0,20,60,20,0,0,0,"Invertebrate",90,0,0,0,0,0,10,0,0,0
"2","Acanthiza chrysorrhoa","Passeriformes","Passeriformes","Acanthizidae","Thornbills and gerygones",9.29,0,0,80,20,0,0,0,0,"Invertebrate",80,0,0,0,0,0,0,0,20,0
"3","Acanthiza katherina","Passeriformes","Passeriformes","Acanthizidae","Thornbills and gerygones",7.2,0,0,0,20,50,30,0,0,"Invertebrate",100,0,0,0,0,0,0,0,0,0
"4","Acanthiza pusilla","Passeriformes","Passeriformes","Acanthizidae","Thornbills and gerygones",7.62,0,0,40,40,20,0,0,0,"Invertebrate",70,0,0,0,0,0,10,10,10,0
"5","Acanthorhynchus tenuirostris","Passeriformes","Passeriformes","Meliphagidae","Honeyeaters",10.44,0,0,0,70,10,0,20,0,"Omnivore",50,0,0,0,0,0,0,50,0,0
"6","Accipiter gularis","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",120.66,0,0,10,10,60,10,10,0,"VertFishScav",10,80,10,0,0,0,0,0,0,0
"7","Accipiter nisus","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",220.79,0,0,20,20,20,20,20,0,"VertFishScav",0,100,0,0,0,0,0,0,0,0
"8","Accipiter poliocephalus","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",214.76,0,0,0,33,33,33,0,0,"VertFishScav",20,0,80,0,0,0,0,0,0,0
"9","Accipiter soloensis","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",164.77,0,0,100,0,0,0,0,0,"VertFishScav",10,20,70,0,0,0,0,0,0,0
"10","Accipiter striatus","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",130.59,0,0,0,25,25,25,25,0,"VertFishScav",0,100,0,0,0,0,0,0,0,0
"11","Accipiter superciliosus","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",99.51,0,0,0,0,33,33,33,0,"VertFishScav",0,80,20,0,0,0,0,0,0,0
"12","Accipiter tachiro","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",381,0,0,20,20,20,20,20,0,"VertFishScav",10,70,20,0,0,0,0,0,0,0
"13","Aceros waldeni","Nonpasseriformes","Bucerotiformes","Bucerotidae","Hornbills",1748.8,0,0,10,0,0,90,0,0,"FruiNect",0,0,0,0,0,0,100,0,0,0
"14","Acridotheres tristis","Passeriformes","Passeriformes","Sturnidae","Starlings",116.43,0,0,70,20,10,0,0,0,"Omnivore",40,10,10,10,0,0,10,10,10,0
"15","Acrocephalus arundinaceus","Passeriformes","Passeriformes","Sylviidae","Old World warblers",30,0,20,20,60,0,0,0,0,"Invertebrate",70,0,20,0,0,0,10,0,0,0
