ID.pts,long,lat,bio12,bio14,bio15,elevation,prop_cropland,prop_water,prop_urban,prop_grassland,prop_snow_ice,prop_treecover,prop_shrubland,NDVI.mean,NDVI.SD,bio1,Zooreg,RealmID,Realm_incomplete,Realm
1,-56.85,-5.066666667,2212,61,48,84,0.000906892,0.179564692,0,0,0,0.811366385,0,6022,3368,267,5,2,Neotropical,Neotropical
2,-56.91666667,-5.216666667,2210,53,49,75,0.000604595,0.212515115,0,0,0,0.74879081,0,5515,3601,268,5,2,Neotropical,Neotropical
3,-56.43333333,-4.7,2147,68,46,84,0.000906892,0.224909311,0,0,0,0.745163241,0,5934,3622,270,5,2,Neotropical,Neotropical
4,-56.43333333,-5.1,2267,64,48,115,0,0.039903265,0.000906892,0,0,0.933192261,0,6843,2131,268,5,2,Neotropical,Neotropical
5,-56.28333333,-4.5,2102,71,46,34,0.081620314,0.150846433,0,0.000604595,0,0.687122128,0.002720677,6615,2870,270,5,2,Neotropical,Neotropical
6,-56.63333333,-4.683333333,2192,65,47,67,0.002116082,0.184099154,0,0,0,0.789903265,0,6098,3421,270,5,2,Neotropical,Neotropical
7,-56.26555556,-4.44,2137,68,48,30,0.168878166,0.134499397,0.000301568,0.004523522,0,0.605850422,0.003920386,6466,2912,272,5,2,Neotropical,Neotropical
8,-40.14304444,-6.615333333,500,3,105,465,0.12,0.003909774,0,0.003007519,0,0.052330827,0.771729323,5033,2065,249,5,2,Neotropical,Neotropical
9,-47.613628,-15.546044,1426,5,76,1051,0.064412708,0.005246284,0.052754299,0,0,0.153599534,0.449431653,5155,1752,214,5,2,Neotropical,Neotropical
10,-64.8,-0.4,2568,160,23,63,0,0.067657767,0,0,0,0.917475728,0,7227,2289,267,5,2,Neotropical,Neotropical
11,-64.91666667,-0.583333333,2548,154,22,34,0,0.10618932,0.000910194,0,0,0.673847087,0,7054,2393,267,5,2,Neotropical,Neotropical
12,-62.935,-4.998,2433,82,43,37,0,0.148526759,0,0,0,0.265484065,0,6497,2670,264,5,2,Neotropical,Neotropical
13,-63.2,-5.716666667,2463,65,49,69,0.010278114,0.069226119,0.001511487,0,0,0.744558646,0.001813785,6896,2073,264,5,2,Neotropical,Neotropical
14,-35.16666667,-5.916666667,1298,19,68,29,0.106582126,0.432669082,0.081219807,0.120169082,0,0.075483092,0.026268116,1676,4102,257,5,2,Neotropical,Neotropical
15,-57.019,-19.57666,1204,27,57,91,0,0.000571102,0,0,0,0.086807539,0.013706453,6276,933,257,5,2,Neotropical,Neotropical
16,-58.15055556,-16.47666667,1330,19,68,119,0.06699536,0,0,0.020301624,0,0.379060325,0.056264501,6536,1522,261,5,2,Neotropical,Neotropical
17,-37.26666667,-6.566666667,720,2,112,231,0.046630566,0.001504212,0,0,0,0.066486161,0.885379061,4820,1542,264,5,2,Neotropical,Neotropical
18,-46.75,-3.7,1574,27,82,203,0.024545455,0,0,0.008181818,0,0.965757576,0,6818,2376,261,5,2,Neotropical,Neotropical
19,-56.36722222,-1.785833333,2416,59,57,85,0.016036309,0.000605144,0,0,0,0.9397882,0.0096823,7163,2193,270,5,2,Neotropical,Neotropical
20,-56.53138889,-1.602222222,2424,66,55,145,0.003022975,0,0,0,0,0.991535671,0.000302297,7142,2323,270,5,2,Neotropical,Neotropical
21,-56.51888889,-1.6275,2424,66,55,151,0.014826021,0,0.001512859,0.001815431,0,0.958245083,0.002420575,6984,2493,270,5,2,Neotropical,Neotropical
22,-56.53222222,-1.628611111,2424,66,55,151,0.0081571,0,0.001510574,0.001510574,0,0.972205438,0.001812689,7054,2415,270,5,2,Neotropical,Neotropical
23,-56.52861111,-1.647777778,2424,66,55,151,0.014207981,0,0.001813785,0.002116082,0,0.957073761,0.003022975,7032,2455,270,5,2,Neotropical,Neotropical
24,-56.52,-1.786666667,2377,55,57,121,0.009673519,0,0,0.003929867,0,0.961003628,0.012696493,7135,2343,270,5,2,Neotropical,Neotropical
25,-56.51527778,-1.800833333,2377,55,57,123,0.014470907,0,0,0.003919204,0,0.954778414,0.012662044,7133,2311,270,5,2,Neotropical,Neotropical
